Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Opis,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila
2018-11-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"gospod Ye Hao, veleposlanik ljudske republike kitajske v rs",priložnostno,neposredno,2x mobilni telefon huawei mate20 pro in 2x pametna ura huawei watch gt,2500,osebna nestrokovna ocena,ob novem letu,funkcionar
2022-01-05,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,DR. KOZMA AHAČIČ,protokolarno,neposredno,"knjiga na lesenem podstavku z naslovom: stati inu obstati. omejena, ročno vezana in oštevilčena izdaja. unikatna knjižna mojstrovina.",2050,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-06-10,OBČINA OPLOTNICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,JANŽIČ MAJDA,protokolarno,neposredno,2 KOSA LESENI SKULPTURI,2000,nestrokovna ocena,sestanek na mzz glede dosedanje ter možnosti prihodnjega sodelovanja rs v projektu rehabilitacije otrok iz gaze,država
2021-09-06,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"DR. NEDŽAD GRABUS, MUFTI V ODHAJANJU IZ REPUBLIKE SLOVENIJE",protokolarno,neposredno,"UMETNIŠKO DELO MERSADA BERBERJA - SLIKA - KOMBINIRANA TEHNIKA OLJE NA PLATNU, GRAFIKA",2000,NESTROKOVNO,V OKVIRU REGIJSKEGA OBISKA VLADE NA KOROŠKEM,"organizacija, v kateri funkcionar opravlja funkcijo"
2022-05-25,GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,Uradna oseba,KATARSKI ŠEJK,protokolarno,posredno,MOŠKA URA EBEL,2000,osebna nestrokovna ocena,ob novem letu,funkcionar
2019-03-19,OKROŽNO SODIŠČE V KRŠKEM,državni organ/lokalna skupnost/nosilec javnih pooblastil,JOŽICA PAVLIN,priložnostno,neposredno,15 SLIK,1900,osebna nestrokovna ocena,uradni obisk v republiki kosovo,država
2020-11-20,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",Uradna oseba,čzs,priložnostno,neposredno,čeblnjak,1700,osebna nestrokovna ocena,sprejem,država
2022-12-16,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"IVO VELIŠEK, BIVŠI DIREKTOR UPRAVE PRAŠKEGA GRADU (URAD PREDSEDNIKA ČEŠKE REPUBLIKE)",protokolarno,neposredno,VAZA MOSER,1589,osebna nestrokovna ocena,uradni obisk v republiki kosovo,država
2021-06-08,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,ŠVICARSKI PREDSEDNIK GUY PARMELIN,protokolarno,neposredno,REUGE ROČNO IZDELANA POJOČA SKRINJICA,1500,osebna nestrokovna ocena,obisk natovih sil v prištini,država
2015-11-26,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs g. ye Hao,priložnostno,posredno,"blago, ogrlica in ipad air",1300,preverjena cena na trgu,uradni obisk v republiki kosovo,država
2016-12-15,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Al-Muzajen, pomočnik zunanjega ministra Države Kuvajt",protokolarno,neposredno,8 zlatih kovancev,1300,osenba nestrokovna ocena,uradni obisk v republiki kosovo,država
2015-03-26,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"KNJIGARNA MOHORJEVA HERMAGORAS, CELOVEC",priložnostno,posredno,"UČBENIKI, DELOVNI ZVEZKI",1106,osebna nestrokovna ocena,uradni obisk v republiki avstriji,država
2017-09-20,DVOJEZIČNA OSNOVNA ŠOLA GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,državni organ/lokalna skupnost/nosilec javnih pooblastil,pomurska madžarska samoupravna narodna skupnost,priložnostno,neposredno,knjige,1032,na podlagi podatka darovalca,50. letnica gimnazije ljutomer,država
2014-03-03,MESTNA OBČINA VELENJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"občina vranje, srbija",protokolarno,neposredno,"slika olje na platnu, 50 cm x 37 cm, kuča bore stankoviča",1000,/,uradni obisk francoskega predsednika v rs,država
2015-03-30,OBČINA ŽIROVNICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"elEKTRO GORENJSKA, D.D., uL. mIRKA VADNOVA 3a, 4000 kranj",priložnostno,neposredno,električno kolo,1000,osebna nestrokovna ocena,delovni obisk v kneževini monako,država
2021-09-16,MESTNA OBČINA NOVO MESTO,Uradna oseba,"Stevan Katić, predsednik Občine Herceg Novi, Trg Maršala Tita 2, 85340 Herceg Novi",protokolarno,neposredno,"umetniško delo avtorja Vojislav Vojo Kilibarda, Herceg Novi, olje na platnu, 2019, 60 x 45 cm",1000,osebna nestrokovna ocena,"udeležba na prireditvi ""ruska kapelica""",država
2022-03-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,pozlačena jadrnica z zlatimi elementi na lesenem podstavku,1000,nestrokovn ocena,uradni obisk predsednika evropskega parlamenta v rs,država
2022-03-23,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,NJEGOVA VISOKOST EMIR DRŽAVE KATAR ŠEJK TAMIM BIN HAMADA AL-THANIA,protokolarno,neposredno,ZLATNIK IZ KATARJA,1000,osebna nestrokovna ocena,sprejem,država
2018-11-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"nj. eksc. gospod ye hao, veleposlanik ljudske republike kitajske v rs",priložnostno,neposredno,mobilni telefon huawei mate 20pro,1000,STROKOVNA OCENA,MESTNA OBČINA NOVO MESTO JE PREDSTAVNIKA ORGANIZACIJE C.I.V.I.A. SAN MARINO GOSTILA NA 2. MEDNARODNI KONFERENCI MEST OB JANTARNI POTI,lokalna skupnost
2021-06-09,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,"dr. guy parmelin, predsednik švicarske konfederacije",protokolarno,neposredno,pojoča skrinjica reuge,950,CENA OBJAVLJENA NA SPLETU,URADNI OBISK V BEOGRADU,Subjekta javnega sektorja (delodajalca)
2014-08-13,OBČINA GORJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,ELEKTRIČNO KOLO,900,osebna nestrokovna ocena,obisk delegacije,Subjekta javnega sektorja (delodajalca)
2015-01-28,OBČINA BLED,državni organ/lokalna skupnost/nosilec javnih pooblastil,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,električno kolo,900,cena navedena na knjigi,obisk v novoletnem času,Subjekta javnega sektorja (delodajalca)
2015-03-19,OBČINA TRŽIČ,funkcionar,ELEKTRO GORENJSKAD.D.,priložnostno,neposredno,ELEKTRIČNO KOLO ZNAMKE EMPRESS,900,OSEBNA NESTROKOVNA OCENA,DARILO OB PREDSTAVITVENEM SREČANJU,Subjekta javnega sektorja (delodajalca)
2015-03-27,OBČINA BOHINJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,elektro gorenjska,priložnostno,neposredno,električno kolo,900,tržna vrednost,novoletni prazniki,Prejemnika
2015-04-03,OBČINA TRŽIČ,funkcionar,ELEKTRO GORENJSKA D.D.,priložnostno,neposredno,ELEKTRIČNO KOLO ZNAMKE EMPRESS,900,OSEBNA NESTROKOVNA OCENA,SPREJEM V PREDSEDNIŠKI PALAČI,Subjekta javnega sektorja (delodajalca)
2015-10-22,UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE,državni organ/lokalna skupnost/nosilec javnih pooblastil,UNIONE ITALIANA,protokolarno,neposredno,"komplet knjig dante alighieri la divina commedia con ragionamenti e note di niccolo' tommaseo, c.r.s. rovigno 2006",900,tržna vrednost,novoletni prazniki,Prejemnika
2015-03-26,OBČINA CERKLJE NA GORENJSKEM,državni organ/lokalna skupnost/nosilec javnih pooblastil,elektro gorenjska d.d.,priložnostno,neposredno,ELEKTRIČNO KOLO,899,LASTNA PRESOJA,SPREJEM,Subjekta javnega sektorja (delodajalca)
2015-05-14,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik Turkmenistana gospod Gurbanguly Malikguyevich Berdimuhamedov,protokolarno,posredno,"ročno narejena volnena preproga (2,97 x 2,02 m) in zlatnik v leseni škatljici",800,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2017-11-24,OBČINA LENART,državni organ/lokalna skupnost/nosilec javnih pooblastil,MARTINA GOLIJA,priložnostno,neposredno,SLIKA,800,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2021-12-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,VELEPOSLANIK RUSIJE V RS Timur Rafailovič Ejvazov,priložnostno,posredno,SLIKA BLEDA AVTORJA SLIKARJA MARKA SMIRNOVA,800,OCENA GENERALNEGA DIREKTORJA,študijskI obisk s strani turških predstavnikov plačilne agencije,Subjekta javnega sektorja (delodajalca)
2022-03-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,neposredno,AL ZUBARA FORT - ZLATA PALAČA V STEKLENI ŠKATLI,800,osebna ocena,sestanek,Prejemnika
2017-12-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,DRAGICA PETROVIČ,protokolarno,neposredno,URA IN MANŠETNI GUMBI,750,OSEBNA NESTROKOVNA OCENA,"URADNI OBISK MZZ KATARJA V SLOVENIJI, 04.11.2021",Subjekta javnega sektorja (delodajalca)
2022-02-10,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"Mohamed Al Džadan, minister za gospodarstvo in načrtovanje Kraljevine Saudove Arabije",protokolarno,neposredno,"knjiga ""abdulaziz"" (fotobiografija kralja Abudlaziza bin abdula rahmana bin faisala al sauda)",705,laično s pomočjo spleta,srečanje in podpis skupne izjave predsednikov vri-ravnanje v primeru nenadnega onesnaženja jadrana,Subjekta javnega sektorja (delodajalca)
2015-03-27,OBČINA IVANČNA GORICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,ksenija hauptman,protokolarno,neposredno,UMETNIŠKA SLIKA,700,lastna presoja,sprejem,Subjekta javnega sektorja (delodajalca)
2016-10-29,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednica vrhovnega sodišča črne gore,protokolarno,neposredno,gorski vjenac - v usnju,700,"ceno je določila strokovnjakinja za ocenjevanje vrednosti umetniških del, kustosinja umetnostna zgodovinarka dolenjskega muzeja novo mesto.",50. obletnica partnerstva mestne občine novo mesto in občine herceg novi,Subjekta javnega sektorja (delodajalca)
2019-04-11,MESTNA OBČINA LJUBLJANA,funkcionar,oskar kogoj,protokolarno,neposredno,lipicanec - slovenski kraljevi konj (pozlačena skulptura),700,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK V NEW YORKU,Subjekta javnega sektorja (delodajalca)
2022-02-10,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"PRINC FAISAL BIN FARHAN BIN ABDULLAH AL SAUD, MINISTER ZA ZUNANJE ZADEVE KRALJEVINE SAUDOVEARABIJE",protokolarno,neposredno,REPLIKA STARODAVNE ZLATE OBRAZNE MASKE NAJDENE V KRALJEVI GROBNICI V THAJU,700,OSEBNA NESTROKOVNA OCENA,DELOVNI OBISK V NEW YORKU,Prejemnika
2022-01-12,VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,Uradna oseba,GENERALNI TOŽILEC RUSKE FEDERACIJE IGOR KRASNOV,protokolarno,neposredno,ročna ura longines z gravuro ruskega generalnega tožilstva,690,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,SLUŽBENI OBISK,Subjekta javnega sektorja (delodajalca)
2020-09-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,nj. eksc. predsednik vlade republike poljske gospod Mateusz Morawiecki,priložnostno,posredno,"planinska spalna vreča, planinski brezrokavnik, planinske rokavice, knjiga Quarks, Elephants & Pierogi: Poland in 100 Words",655,osebna nestrokovna ocena,"delovni obisk mzz logarja na malti, 05.02.2021",Subjekta javnega sektorja (delodajalca)
2022-04-07,DRŽAVNA REVIZIJSKA KOMISIJA ZA REVIZIJO POSTOPKOV ODDDAJE JAVNIH NAROČIL,Uradna oseba,Agencija za management,priložnostno,neposredno,brezplačne storitve - kot slušatelj na konferenci Dnevi javnih naroči,624,tržna vrednost,novoletni prazniki,Prejemnika
2015-03-24,"Eko sklad, Slovenski okoljski javni sklad",državni organ/lokalna skupnost/nosilec javnih pooblastil,daikin Hrvatska d.o.o.,priložnostno,posredno,letalska karta za strokovno srečanje tehnološko razvojna novost na področju toplotnih črpalk,624,primerjava vrednosti na spletni strani,božično - novoletni prazniki,Subjekta javnega sektorja (delodajalca)
2015-05-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK TURKMENISTANA GURBANGULY BERDIMUHAMMEDOW,protokolarno,neposredno,"TEPIH VELIKOSTI 3,6x1,98 METRA",600,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,BOŽIČNO - NOVOLETNI PRAZNIKI,Subjekta javnega sektorja (delodajalca)
2016-04-28,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"veleposlanik kitajske, ye hao",protokolarno,neposredno,mobilni telefon,600,LAIČNA,VLJUDNOSTNO SREČANJE,Subjekta javnega sektorja (delodajalca)
2019-09-15,OBČINA LENDAVA - LENDVA KÖZSEG,funkcionar,"Mesna zajednica ""Bukovac"" i akud milica stojadinović srpkinja iz bukovca",priložnostno,neposredno,slika petrovaraždinska tvrđava,600,na podlagi pregleda spletnih ponudb in objavljenih cen,ob ameriškem prazniku,Prejemnika
2020-09-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik mednarodnega olimpijskega komiteja gospod thomas bach,protokolarno,posredno,nalivno pero,600,OSEBNA NESTROKOVNA OCENA,POGOVOR PRI SVETOVALKI PRS,Subjekta javnega sektorja (delodajalca)
2015-05-05,"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI",funkcionar,MINISTRSTVO ZA ZVEZE IN MNOŽIČNE KOMUNIKACIJE RUSKE FEDERACIJE,protokolarno,neposredno,PAMETNI MOBILNI TELEFON yOTA DEVICES YOTA PHONE 2 (IMEI 356431060431290),599,NA PODLAGI RAČUNA,NOVOLETNO DARILO,funkcionar
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,gimnazija franca miklošiča ljutomer,protokolarno,posredno,bronast kipec franca miklošiča s certifikatom,550,tržna vrednost,novoletni prazniki,funkcionar
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"SIEMENS D.O.O., Bratislavska 5, 1000 Ljubljana",protokolarno,neposredno,"VABILO NA STROKOVNI OBISK CENTRA ZA URBANO TRAJNOST THE CRYSTAL V LONDONU, DARILO PRIJAVLJAMO SKLADNO Z MNENJEM KPK ŠT. 06288-1/2013-4 03002 (PREJETO 18.04.2013)",550,cena na trgu,Obdaritev ob zaključku leta,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-07-03,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"JANOS ADER, PREDSEDNIK MADŽARSKE",protokolarno,neposredno,KOLO - SPECIALKA MODRO BELE BARVE,550,PREVERJENA CENA NA TRGU,NOVOLETNO DARILO,lokalna skupnost
2021-05-18,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,GUVERNER BANKE SLOVENIJE MAG. BOŠTJAN VASLE,protokolarno,neposredno,KOVANEC BANKA SLOVENIJE 30 LET - ZLATNIK,531,osebna nestrokovna ocena,"udeležba predsednika vrhovnega sodišča madžarske na 100-letnici vrhovnega sodišča RS, ljubljana","organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-31,OBČINA ŠENTJUR,državni organ/lokalna skupnost/nosilec javnih pooblastil,občina požega (SRB),protokolarno,neposredno,"monografija ""manastiri""",510,osebna nestrokovna ocena,DRŽAVNIŠKI OBISK PRS V KRALJEVINI NORVEŠKI,država
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,veleposlanik republike azerbajdžan gospod GAlib israfilov,protokolarno,neposredno,preproga iz bakuja,500,osebna nestrokovna ocena,"uradni obisk MZZ dr. Cerarja v Združenih arabskih emiratih, 30.10.2019",država
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,minister za izredne razmere azerbajdžana gospod kamaladdin heydarov,protokolarno,neposredno,svilena preproga,500,osebna nestrokovna ocena,"uradni obisk MZZ dr. Cerarja v Združenih arabskih emiratih, 30.10.2019",država
2015-03-23,OBČINA ŠKOFJA LOKA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"občina freising, Obere hauptstrasse 2, freising",protokolarno,neposredno,staro glasbilo-zvončki,500,osebna nestrokovna ocena,"uradni obisk MZZ dr. Cerarja v Združenih Arabskih Emiratih, 30.10.2019",država
2019-06-07,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK FINSKE sauli niniisto,protokolarno,neposredno,športna ura suunito,500,"NESTROKOVNA OCENA, PREGLED VREDNOSTI PODOBNIH IZDELKOV NA INTERNETU, OCENA GLEDE NA PODOBNA PREJETA DARILA V PRETEKLIH LETIH",Obisk politično-gospodarske in znanstveno-raziskovalne delegacije iz regije krasnojarsk in republike hakasije iz Rusije v Novem mestu v okviru sodelovanja s centrom biotehnike in turizma - grm novo mesto,lokalna skupnost
2021-08-25,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Uradna oseba,MINISTER ZA ZUNANJE ZADEVE MALTE BARTOLO,protokolarno,neposredno,SLIKA (FILIGRAN) BARKA,500,CENA NAVEDENA NA KNJIGI,DARILO JE BILO DANO OB PODPISU ANEKSA ZA UPRAVLJANJE NRŠZ ZA NADALJNJIH 10 LET,"organizacija, v kateri funkcionar opravlja funkcijo"
2022-09-22,POKRAJINSKI ARHIV V NOVI GORICI,Uradna oseba,"POKRAJINSKI ARHIV KOPER, ZGODOVINSKI ARHIV LJUBLJANA, ZGODOVINSKI ARHIV CELJE, ZGODOVINSKI ARHIV NA PTUJU, POKRAJINSKI ARHIV MARIBOR, ARHIV REPUBLIKE SLOVENIJE",protokolarno,neposredno,"Umetniško delo janka kastelica, mešana tehnika, naslov: šopek",500,osebna nestrokovna ocena,uradni obisk prs v kraljevini norveški,država
2015-04-10,Ministrstvo za gospodarski razvoj in tehnologijo,državni organ/lokalna skupnost/nosilec javnih pooblastil,veleposlaništvo kitajske v RS,protokolarno,neposredno,mobilni telefon,499,izkustveno,70-letnica svz hrastovec,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-05-27,MINISTRSTVO ZA NOTRANJE ZADEVE,funkcionar,"ye hao, veleposlanik lr kitajske",protokolarno,neposredno,mobilni telefon huawei ascend mate7,499,izkustveno,70-letnica svz hrastovec,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-04-15,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",funkcionar,veleposlanik lr kitajske v sloveniji g.ye hao,protokolarno,neposredno,mobilni telefon huawei mt7-tl10,464,ZNESEK NAVEDEN NA KNJIGI,Pozdravno srečanje DS Božiča v času njihovega obiska v Republiki Sloveniji,država
2014-03-03,MESTNA OBČINA VELENJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"goran j. horvat, nizka 43, rečica ob savinji",priložnostno,neposredno,slika improvizator,450,osebna nestrokovna ocena,uradni obisk predsednika državnega sveta v republiki poljski,funkcionar
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,monaški princ albert,priložnostno,neposredno,manšetni gumbi cartier,450,spletna stran,podpis dokumentov ob začetku projekta,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-25,MINISTRSTVO ZA INFRASTRUKTURO IN PROSTOR,funkcionar,"fawaz a, al farah, predsednik dgca, kuvajt",protokolarno,neposredno,maketa ladje v lesenem zabojčku,450,spletna stran,podpis dokumentov ob začetku projekta,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-01-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,ORGANIZATOR ROKOMETNEGA PRVENSTVA V KATARJU 2015,protokolarno,neposredno,POZLAČENA ROKOMETNA ŽOGA,450,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-06-05,"Eko sklad, Slovenski okoljski javni sklad",državni organ/lokalna skupnost/nosilec javnih pooblastil,segrap d.o.o.,priložnostno,neposredno,letna karta 2015 wellness,450,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora,"organizacija, v kateri funkcionar opravlja funkcijo"
